s,n
002265,8.24
002266,4.56
002267,6.79
002268,19.22
002269,1.94
002270,5.94
002271,35.1
002272,6.5
002273,13.29
002274,4.95
002275,14.56
002276,8.63
002277,4.02
002278,6.03
002279,5.51
002280,1.85
002281,32.13
002282,10.85
002283,6.63
002284,5.92
002285,5.12
002286,11.04
002287,28.3
002288,6.97
002289,9.66
002290,6.27
002291,18.5
002292,8.14
002293,12.73
002294,28.31
002295,7.55
002296,7.77
002297,7.98
002298,10.03
002299,27.39
002300,6.25
002301,15.05
002302,9.4
002303,4.64
002304,196.88
002305,2.17
002306,2.83
002307,5.35
002308,5.92
002309,5.37
002310,4.8
002311,60.22
002312,5.96
002313,14.47
002314,3.49
002315,18.4
002316,4.9
002317,12.96
002318,10.12
002319,6.78
002320,9.57
002321,4.49
002322,13.02
002323,3.37
002324,15.9
002325,3.02
002326,9.24
002327,8.05
002328,5.85
002329,4.76
002330,7.11
002331,12.87
002332,14.28
002333,5.38
002334,5.45
002335,22.75
002336,3.97
002337,3.5
002338,21.52
002339,6.78
002340,5.27
002341,4.22
002342,3.55
002343,7.32
002344,4.18
002345,4.79
002346,11.07
002347,4.63
002348,3.16
002349,5.07
002350,5.62
002351,16.26
002352,83.06
002353,36.76
002354,3.17
002355,6.5
002356,1.24
002357,6.23
002358,5.04
002360,6.5
002361,4.77
002362,26.19
002363,6.65
002364,9.89
002365,10.85
002366,4.34
002367,10.4
002368,28.48
002369,6.25
002370,4.58
002371,165.38
002372,20
002373,20.66
002374,2.57
002375,8.64
002376,9.34
002377,4.49
002378,5.59
002379,3.16
002380,15.2
002381,9.64
002382,20.63
002383,8.25
002384,28.66
002385,9.1
002386,5.93
002387,13.2
002388,6.66
002389,28.01
002390,7.16
002391,7.5
002392,4.99
002393,25.05
002394,10.71
002395,14.98
002396,24.46
002397,4.8
002398,8.86
002399,19.66
002400,6.13
002401,13.81
002402,17.82
002403,8.29
002404,7.45
002405,15.62
002406,7.15
002407,16.39
002408,9.1
002409,59.13
002410,66.35
002411,6.35
002412,7.03
002413,7.86
002414,38.12
002415,45.87
002416,8.4
002417,8.2
002418,1.95
002419,8.71
002420,4.26
002421,3.98
002422,21.31
002423,10.26
002424,9.01
002425,9.12
002426,2.04
002427,5.26
002428,14.43
002429,6.28
002430,26.14
002431,3.61
002432,9.68
002433,4.57
002434,9.53
002435,4.07
002436,11.36
002437,3.11
002438,10.75
002439,30.2
002440,10.06
002441,8.69
002442,4.75
002443,7.25
002444,27.79
002445,1.93
002446,7.22
002447,2.34
002448,5.91
002449,11.53
002451,7.97
002452,6.63
002453,5.77
002454,6.39
002455,5.38
002456,15.57
002457,8.15
002458,12.51
002459,32
002460,78.02
002461,10.09
002462,15.46
002463,20.17
002464,4.28
002465,11.98
002466,27.21
002467,6.58
002468,12.82
002469,6.05
002470,1.38
002471,2.68
002472,7.43
002473,5.79
002474,7.04
002475,52.14
002476,5.27
002478,4.81
002479,6.26
002480,4.86
002481,16.22
002482,3.51
002483,6.85
002484,11.51
002485,5.19
002486,3.32
002487,9.04
002488,9.18
002489,4.3
002490,3.55
002491,4.71
002492,6
002493,25.55
002494,4.58
002495,2.76
002496,2.85
002497,16.94
002498,4.13
002499,4.49
002500,8.26
002501,2.42
002502,2.95
002503,2.32
002504,2.68
002505,2.56
002506,4.16
002507,41.99
002508,41.57
002510,5.63
002511,21.7
002512,5.39
002513,4.68
002514,4.05
002515,5.97
002516,3.95
002517,4.63
002518,12.8
002519,4.51
002520,6.97
002521,5.89
002522,7.55
002523,2.64
002524,14.3
002526,2.63
002527,6.3
002528,4.21
002529,5.67
002530,8.23
002531,7.7
002532,8.57
002533,5.95
002534,10.63
002535,1.56
002536,6.09
002537,7.3
002538,6.43
002539,7.44
002540,5.23
002541,36.1
002542,3.45
002543,9.05
002544,16
002545,7.85
002546,4.32
002547,4.98
002548,8.77
002549,8.3
002550,4.61
002551,6.73
002552,14.36
002553,8.99
002554,2.57
002555,29.18
002556,8.64
002557,59.43
002558,17.8
002559,5.98
002560,8.64
002561,7.83
002562,5.82
002563,9.6
002564,3.54
002565,5.3
002566,7.04
002567,8.67
002568,78.86
002569,12.02
002570,5.9
002571,10.66
002572,28.8
002573,5.63
002574,4.9
002575,3.16
002576,12.13
002577,13.43
002578,3.79
002579,14.14
002580,6.11
002581,18.3
002582,13.31
002583,7.11
002584,6.49
002585,10.48
002586,2.09
002587,6.09
002588,5.37
002589,5.78
002590,8.33
002591,6.5
002592,4.19
002593,4.05
002594,171.86
002595,26.27
002596,6.07
002597,33.3
002598,6.9
002599,4.35
002600,14.28
002601,31.93
002602,8.21
002603,25.66
002605,28.28
002606,7.1
002607,37.67
002608,6.52
002609,10.87
002610,2.32
002611,5.04
002612,13.21
002613,4.28
002614,14.22
002615,5.49
002616,8.47
002617,7.86
002618,7.31
002619,2.2
002620,6.4
002621,6.54
002622,3.44
002623,37.88
002624,28.85
002625,20.19
002626,35.94
002627,5.47
002628,4.04
002629,2.29
002630,2.56
002631,7.22
002632,7.66
002633,8.4
002634,7.84
002635,19.17
002636,10.07
002637,13.19
002638,1.66
002639,7.06
002640,6.18
002641,7.28
002642,5.23
002643,19.95
002644,7.79
002645,9.43
002646,16.14
002647,25.9
002648,25.7
002649,10.48
002650,6.76
002651,10.2
002652,4.9
002653,20.59
002654,4.31
002655,8.37
002656,1.79
002657,13.09
002658,6.32
002659,6.9
002660,8.85
002661,20.79
002662,4.2
002663,2.25
002664,15.94
002665,2.5
002666,6
002667,7.48
002668,4.52
002669,18.27
002670,15.5
002671,4.56
002672,9.48
002673,9.89
002674,19.19
002675,25.9
002676,3.68
002677,17.36
002678,7.73
002679,11.26
002681,5.08
002682,4.54
002683,34.4
002684,3.59
002685,4.85
002686,6.48
002687,6.12
002688,6.09
002689,3.7
002690,47
002691,5.05
002692,2.91
002693,4.71
002694,2.99
002695,23.41
002696,6.18
002697,7.28
002698,12.12
002699,7.59
002700,4.19
002701,5.81
002702,9.66
002703,5.32
002705,41.33
002706,25.78
002707,6.41
002708,7.01
002709,75.98
002712,5.79
002713,7.86
002714,78.14
002715,19.12
002716,2.64
002717,4.08
002718,17.1
002719,7.77
002721,3.59
002722,12.78
002723,12.45
002724,8.95
002725,9.89
002726,13.49
002727,42.4
002728,13.26
002729,48.44
002730,12.11
002731,7.09
002732,24.44
002733,19.92
002734,13.61
002735,38.03
002736,14.15
002737,15.13
002738,21.53
002739,18.89
002740,5.62
002741,13.31
002742,6.93
002743,7.87
002745,15.05
002746,12.15
002747,24.1
002748,7.09
002749,12.4
002750,11.42
002751,21.13
002752,5.96
002753,8.82
002755,15.3
002756,29.93
002757,17.13
002758,11.85
002759,13.19
002760,19.49
002761,8.92
002762,5.68
002763,8.05
002765,6.61
002766,3
002767,13.46
002768,32.15
002769,7.7
002770,2.01
002771,12.41
002772,9.7
002773,44.49
002774,6.96
002775,5.37
002776,6.05
002777,24.83
002778,27.67
002779,14.47
002780,18.29
002781,18.13
002782,14.22
002783,12.6
002785,16.81
002786,7.67
002787,7.21
002788,9.15
002789,18.7
002790,6.41
002791,132.07
002792,20.88
002793,12
002795,15.17
002796,14.25
002797,10.79
002798,21.9
002799,17.59
002800,21.93
002801,35.29
002802,28.5
002803,33.41
002805,13.52
002806,12.3
002807,4.4
002808,8.11
002809,11.72
002810,39.95
002811,10.04
002812,105.7
002813,22.75
002815,16.82
002816,26.5
002817,15.66
002818,16.39
002819,38.09
002820,11.91
002821,263
002822,7.56
002823,11.79
002824,19.5
002825,16.5
002826,11.27
002827,12.55
002828,9.67
002829,40.1
002830,12.42
002831,28.62
002832,16.5
002833,41.62
002835,14.47
002836,10.91
002837,19.77
002838,24.28
002839,6.39
002840,12.23
002841,106.75
002842,11.29
002843,8.31
002845,29.69
002846,14.95
002847,124.49
002848,11.76
002849,14.25
002850,67.85
002851,36.6
002852,17.62
002853,23.62
002855,12.76
002856,16.14
002857,13.63
002858,17.85
002859,27.21
002860,13.74
002861,24
