s,n
600178,8.55
600177,7.35
600176,16.68
600173,5.07
600172,3.63
600171,15.85
600170,3.09
600169,2.13
600168,7.27
600167,13.26
600166,3.36
600165,7.97
600163,3.5
600162,2.06
600161,42.42
600160,7.53
600159,2.65
600158,13.63
600157,1.43
600156,4.58
600155,14.94
600153,9.29
600152,7
600151,7.58
600150,19.04
600149,4.91
600148,15.45
600146,1.48
600145,1.57
600143,17.87
600141,11.97
600139,3.45
600138,11.45
600137,15.82
600136,8.16
600135,6.89
600133,6.15
600132,116.51
600131,17.61
600130,4.28
600129,14.7
600128,7.23
600127,10.74
600126,5.91
600125,5.38
600123,5.57
600122,1.17
600121,4.25
600120,6.8
600119,8.16
600118,33.84
600117,4.29
600116,8.67
600115,5.06
600114,8.62
600113,6.93
600112,1.38
600111,13.33
600110,7.38
600109,17.73
600108,3.33
600107,8.56
600106,2.75
600105,4.11
600104,25.24
600103,2.1
600101,5.82
600100,6.62
600099,6.82
600098,6.04
600097,10.2
600096,5.9
600095,14.35
600094,4.75
600093,8.85
600091,2.23
600090,1.83
600089,8.44
600088,11.31
600086,0.92
600085,25.28
600084,2.25
600083,6.47
600082,3.34
600081,14.11
600080,6.12
600079,33.81
600078,4.45
600077,3.79
600076,3.92
600075,6.75
600073,10.1
600072,12.24
600071,10.18
600070,10.59
600068,6.79
600067,3.96
600066,17.82
600064,10.5
600063,3.91
600062,12.7
600061,15.22
600060,11.67
600059,11
600058,7.47
600057,6.55
600056,15.36
600055,11.35
600054,8.82
600053,23.88
600052,3.27
600051,9.5
600050,4.83
600048,16.96
600039,4.82
600038,54.2
600037,10.78
600036,45.78
600035,2.99
600033,2.74
600031,32.05
600030,30.3
600029,6.42
600028,4.18
600027,3.52
600026,7.01
600025,4.55
600023,3.65
600022,1.45
600021,7.46
600020,3.55
600019,6.07
600018,4.64
600017,2.92
600016,5.36
600015,6.55
600012,6.4
600011,4.95
600010,1.19
600009,81.06
600008,3.04
600007,12.92
600006,6.35
600004,14.99
688699,0
